gene.x,gene.y,weight.AF_confidence
ARL10,KCNQ3,0.322
ATF7,MYT1L,0.31
BCL11A,MBD2,0.308
BRD2,CHD8,0.338
CAVIN1,NRXN1,0.354
COQ10B,UBR1,0.408
COQ8B,UBR1,0.396
CORO1A,CORO1C,0.372
CORO1A,DAPK1,0.368
CORO1A,SCRIB,0.33
FARS2,UBR1,0.4
FKBP5,LDB1,0.36
FOXP2,LIG3,0.338
FYN,NRXN1,0.358
GCN1,LRRC4C,0.352
GFAP,PRRC2A,0.304
GRIA2,ODR4,0.344
GTSE1,TRIM23,0.328
HIRA,TCF7L2,0.33
HOMEZ,POGZ,0.33
IRF2BP1,MKX,0.32
IRF2BP1,PRR12,0.312
JPH1,TBR1,0.328
KDM6B,PIK3C2A,0.352
KDM6B,REPS1,0.334
KIAA0232,PFDN5,0.308
LDB1,LMX1B,0.324
LRRC4C,XPO5,0.38
MBD5,MIB1,0.32
MED23,MYT1L,0.376
NACC1,TCAF1,0.39
NME6,UBR1,0.41
NRP1,UBR1,0.384
NRXN1,RHOG,0.36
NXF1,PHF2,0.336
OCRL,TBR1,0.344
OSBPL8,SKI,0.336
RBM6,SHANK3,0.322
RCC1L,UBR1,0.4
RER1,SCN1A,0.388
RMND5A,SKI,0.334
SAP130,SIN3A,0.328
SKI,YPEL5,0.322
SLC39A6,UBR1,0.388
STUB1,TCF4,0.32
TCF4,TFCP2,0.326
TCF4,TP53,0.32
TRIM23,USP15,0.334
TRIM68,ZMYND8,0.324
NSD1,PDCD11,0.3248
AARS1,SRP19,0.39
ABLIM1,MYH10,0.34
ACTN1,PLEKHG3,0.328
ACTN1,PPP1R12A,0.33
ACTN4,LAP3,0.342
ACTN4,PAWR,0.34
ACTN4,TLN1,0.344
ACTN4,WDR48,0.352
ADGRL2,PISD,0.328
AFDN,MYO1B,0.332
AFG3L2,CLPB,0.33
AFG3L2,HLA-C,0.338
AGPS,PRDX4,0.386
AGPS,SLC39A10,0.354
AGPS,SMARCC1,0.346
AKAP8,ATAD3B,0.32
AKAP8,PAXIP1,0.328
AKAP8,PLOD1,0.368
AKR1B10,DAPK1,0.37
AKR1B10,OAT,0.386
ALDH3A2,IMMT,0.354
AMBRA1,CDC73,0.33
ANKHD1,MRPS9,0.332
ANKRD11,DCAF7,0.318
ANKRD17,MRPS9,0.332
ANP32B,IDE,0.41
ANP32B,NUP155,0.384
ANP32B,SP2,0.316
ANP32E,ARL6IP5,0.338
ANP32E,PUM3,0.372
ANXA1,LMNA,0.336
AP1B1,REPS1,0.34
AP2A1,EPS15L1,0.34
AP2A1,HIP1,0.334
AP2A1,STK3,0.35
AP2A2,KIAA1671,0.328
AP2A2,PGRMC2,0.366
AP2B1,CLTC,0.328
AP2B1,ESYT2,0.342
AP2B1,HSPA6,0.346
AP2B1,REPS1,0.34
AP2B1,YME1L1,0.34
AP2M1,RAB18,0.346
AP2M1,TNRC6B,0.316
AP2S1,GTSE1,0.312
AP3D1,IWS1,0.342
APC,FAM53C,0.324
APC,NXF1,0.324
ARFIP2,DNAAF5,0.388
ARHGEF1,CDC73,0.338
ARHGEF1,NRP1,0.328
ARID4A,OGT,0.348
ARIH1,MDC1,0.318
ARL10,ECD,0.364
ARMC8,OSBPL8,0.36
ARMC8,USP9X,0.366
ARMH3,ATP6V1H,0.376
ARMH3,TNPO1,0.356
ASPH,FBXW11,0.338
ASPH,IQSEC1,0.332
ASPH,POLD1,0.376
ASPH,POMGNT2,0.346
ASPH,SBF1,0.342
ATAD3B,MYO6,0.372
ATAD3B,STK3,0.328
ATAD3B,ZMYM4,0.318
ATF7,BEND3,0.316
ATIC,HYPK,0.418
ATIC,ITPRID2,0.342
ATP2B1,FANCI,0.36
ATP6V1H,ECPAS,0.352
ATXN2,COQ10B,0.306
ATXN2,DOCK7,0.356
ATXN2,NME6,0.308
ATXN2,PARL,0.318
ATXN2,PPP2R5D,0.328
ATXN2,VAMP3,0.298
BAX,XPO1,0.402
BCKDK,RBM15,0.334
BCR,DDB1,0.356
BEND3,P3H1,0.334
BIRC2,UBR5,0.356
BMP2K,CRTAP,0.324
BMS1,SENP3,0.34
BTRC,PDCD11,0.324
CABIN1,RNH1,0.34
CABIN1,XRCC5,0.338
CACNA2D1,LMNA,0.378
CACNA2D1,MPRIP,0.368
CACTIN,DCP2,0.32
CACTIN,SEC16A,0.322
CACTIN,UBR5,0.356
CACTIN,WDR61,0.334
CADM1,FLOT2,0.338
CADM1,IMMT,0.326
CADM1,SPTBN2,0.316
CALR,SIPA1L3,0.346
CALU,PDCD11,0.328
CALU,RAD54L2,0.35
CAMSAP3,KPNA3,0.334
CAND1,MYH14,0.342
CARM1,POLR1B,0.388
CARM1,TIMM8B,0.37
CASK,USP9X,0.368
CAVIN1,DOCK7,0.378
CAVIN1,PPP1R9B,0.31
CAVIN1,SCRIB,0.33
CAVIN1,SVIL,0.328
CCAR2,EIF4E2,0.344
CDC42BPA,DHCR24,0.332
CDC42BPA,TNPO1,0.338
CDC73,CNOT1,0.332
CDH2,IMMT,0.328
CDH2,MYH14,0.34
CEP120,IFT57,0.316
CEP131,CTR9,0.338
CEP131,NCKIPSD,0.33
CEP131,WDR61,0.324
CEP170,CIP2A,0.33
CEP170,TYW3,0.31
CEP170,VARS1,0.35
CFAP97,MCM10,0.322
CGN,PAWR,0.306
CHAF1B,OBI1,0.34
CHD1,NUP153,0.334
CHD1,SND1,0.336
CIP2A,FARS2,0.354
CIP2A,IMMT,0.338
CIP2A,MRPL4,0.358
CKAP2,CLPB,0.332
CKAP5,DAPK1,0.336
CKAP5,MYO6,0.344
CKAP5,P4HB,0.322
CKAP5,WRNIP1,0.32
CLCC1,COLGALT1,0.366
CLPB,ELP1,0.364
CLPB,NUP35,0.344
CLPB,RPRD2,0.324
CLPB,VAMP3,0.366
CLTA,CRTAP,0.362
CLTC,PDCD11,0.324
CLUH,SNX9,0.386
CNOT1,PFDN5,0.332
COL18A1,SMPD4,0.332
COLGALT1,PARL,0.372
COLGALT1,SNRNP200,0.38
COP1,JPH1,0.334
COP1,POLE,0.378
COPS4,GLB1,0.382
COPS4,RBM15,0.328
COPS4,TEX10,0.366
COQ10B,FARS2,0.378
COQ8B,METAP1D,0.35
CORO1C,MYO5A,0.358
CPSF1,USP39,0.396
CPSF2,SNRNP200,0.378
CPSF3,EIF3G,0.36
CPSF3,TNRC6A,0.326
CPSF4,SNRNP200,0.396
CREBBP,DDA1,0.338
CREBBP,FARP2,0.332
CREBBP,PRKCI,0.332
CREBBP,ZC3H18,0.334
CRTAP,TRIM27,0.346
CRTC2,MOGS,0.372
CRTC2,PSMB5,0.322
CRTC3,PLOD3,0.372
CSNK2A2,RBM15,0.33
CTBP1,UBR5,0.358
CTBP1,ZC3H18,0.326
CTBP2,DDB1,0.384
CTBP2,RAD54L2,0.348
CTNNA1,ITPRID2,0.336
CTNNB1,SP3,0.344
CTR9,ERCC3,0.338
CTR9,RBM15B,0.34
CTR9,SUPT6H,0.35
CTSA,GIGYF1,0.338
CUL2,PRPF4,0.366
CUL7,ZNF644,0.352
CUX1,RAE1,0.324
CYB5B,TRABD,0.38
CYB5R3,DAPK1,0.37
DAPK1,GNAI1,0.366
DAPK1,OAT,0.366
DARS2,MRPL45,0.39
DARS2,SLC39A6,0.356
DBN1,MYO1C,0.352
DBN1,SNRNP200,0.382
DCAF1,DCP2,0.372
DCAF1,EDC4,0.348
DCAF1,PRKCI,0.366
DCAF1,RNF169,0.366
DCAF1,TCAF1,0.356
DCAF1,ZC3H18,0.36
DCAF5,USP7,0.334
DCAF7,IRF2BPL,0.336
DCAF7,TTC37,0.376
DCAF7,XPOT,0.398
DCP1A,PJA1,0.312
DCP1A,RNF169,0.31
DCP1A,UBR5,0.354
DCP1A,ZC3H18,0.31
DCP2,FAM53C,0.334
DCP2,ZC3H4,0.314
DDB1,DOCK6,0.362
DDB1,DPY30,0.408
DDB1,EP300,0.344
DDB1,MOV10,0.37
DDB1,SKIV2L,0.364
DDX20,SPIN1,0.336
DDX20,USP24,0.364
DDX20,ZC3H18,0.332
DHX30,LRCH3,0.362
DHX30,TTC37,0.348
DLG1,DSG2,0.322
DLG1,ITPR3,0.356
DLG1,ITPRID2,0.318
DNAJB1,IDE,0.402
DNAJB1,LSR,0.312
DNAJC21,GNAI1,0.35
DNAJC21,PRPF6,0.348
DNAJC21,SCRIB,0.33
DOCK6,FARP2,0.368
DOCK6,PARD3,0.358
DOCK6,YWHAH,0.384
DOCK7,MICU1,0.376
DOCK7,NUBPL,0.376
DOCK7,NUP35,0.386
DOCK7,SPECC1L,0.36
DOCK7,TRMT61B,0.366
DSG2,MYH10,0.336
DSG2,MYO5C,0.348
ECI2,RPRD2,0.314
ECPAS,XPO1,0.352
EDC3,XRN1,0.368
EDC4,RBL1,0.334
EDC4,TCF25,0.334
EIF3G,KPNA6,0.376
EIF3G,RHOT2,0.378
EIF3G,TRAF3,0.33
EIF3G,VAPA,0.316
EIF3G,WDR33,0.326
EIF4E2,PKP4,0.34
EIF4ENIF1,MED1,0.328
ELP1,PKP4,0.352
ELP1,WDR6,0.362
EP300,FAM117A,0.336
EP300,FARP2,0.33
EP300,JUN,0.336
EP300,TROAP,0.336
EPB41L2,OGDH,0.362
EPB41L2,PLEKHG3,0.32
EPB41L2,SCRIB,0.326
EPS15,ORC4,0.324
ESYT2,RAB18,0.334
ESYT2,RHOT2,0.344
EVI5L,TRAF7,0.324
EVI5L,UBR5,0.354
FAM117A,TRAF7,0.33
FAM117B,FNTA,0.342
FAM117B,MRE11,0.342
FAM117B,TRAF7,0.326
FAM117B,USP9X,0.376
FAM53B,TTC37,0.37
FAM53C,MRE11,0.35
FAM53C,USP54,0.324
FARP2,SKIV2L,0.352
FARP2,XRN1,0.356
FARS2,LONP1,0.332
FARS2,TFB2M,0.352
FBXW11,PKP4,0.334
FHL3,MPRIP,0.304
FLII,GNAI1,0.346
FLII,MYO5C,0.344
FLII,SNRNP200,0.366
FLNA,POLDIP2,0.322
FLNA,TCF25,0.33
FLOT2,MYO1C,0.36
FMNL2,MYH9,0.336
FMNL2,WDR1,0.352
FNTA,USP54,0.318
FOXJ3,PSMB5,0.32
FTH1,UBN2,0.308
FYN,NRXN2,0.342
GATAD2A,VAPB,0.308
GATAD2B,HDAC2,0.344
GCN1,GNG4,0.362
GCN1,LIMA1,0.35
GCN1,TMOD2,0.354
GEMIN4,NCBP1,0.362
GEMIN5,NCBP1,0.356
GID8,USP9X,0.386
GLB1,SMARCD1,0.374
GLCCI1,USP9X,0.376
GLMN,VAPA,0.398
GNAI1,PRPF6,0.35
GNAI1,PRPF8,0.376
GPX8,MOGS,0.412
GRAMD1A,SIPA1L3,0.342
GRAMD4,LIG3,0.338
GRAMD4,MED1,0.332
GTF2H1,NKTR,0.308
GTF2H3,KPNA3,0.378
GTF2H4,KPNA5,0.37
GTF2H4,KPNA6,0.368
GTF2H5,KPNA1,0.4
GTF2H5,KPNA4,0.4
GTSE1,P3H1,0.336
GXYLT1,NUDT6,0.352
GXYLT1,STMN1,0.38
HBP1,OGT,0.376
HBP1,SAP30,0.33
HBP1,TNRC18,0.316
HEATR3,SSBP2,0.38
HERC5,MCM10,0.368
HIRA,SGF29,0.34
HIRA,SPTAN1,0.326
HLA-C,MRPS28,0.366
HSD17B4,PRRC2A,0.316
HYOU1,RBM10,0.354
HYOU1,TLN1,0.34
HYOU1,WDR48,0.364
ID2,NEFM,0.302
ID3,RAD50,0.338
ID3,TTF2,0.356
IDE,MYO6,0.358
IDE,PPP1R9A,0.368
IDE,SENP3,0.388
IDE,SMC1A,0.364
IDE,SPTAN1,0.348
IDH3A,PRCP,0.37
IDH3A,PRRC2A,0.318
IDH3A,YME1L1,0.346
IDH3G,NDUFA10,0.37
IDH3G,SARS2,0.378
IFT172,TRIM27,0.33
IMMT,VARS2,0.374
INTS14,TEX10,0.372
IPO7,LMO4,0.402
IPO7,TNPO1,0.348
IQSEC1,OCRL,0.324
IQSEC1,SBF1,0.346
IRAK1,TNRC6B,0.318
IRF2BPL,MAGED2,0.322
ISL2,NF1,0.36
ISL2,PMPCA,0.37
IST1,NUP85,0.368
ITCH,REEP5,0.34
ITPR3,LMNB2,0.366
ITPR3,PKP2,0.364
IWS1,SUPT6H,0.36
IWS1,TTLL12,0.358
JPH1,PDCD11,0.326
KDM1A,TOP2B,0.344
KIAA1671,PLEKHG3,0.318
KIF7,TRAF2,0.342
KLHL7,MED23,0.4
KLHL7,MED26,0.336
KLHL7,TOP2A,0.356
KPNA1,KPNA2,0.352
KPNA3,PAF1,0.354
KPNA4,WDR61,0.37
KPNA6,SND1,0.342
KPNA6,WDR61,0.37
LACTB,MAPRE1,0.368
LAP3,PDCD11,0.334
LEMD2,NUDT12,0.348
LEO1,MARK2,0.328
LEO1,SIN3A,0.332
LEO1,YTHDC2,0.36
LIMA1,MYO1C,0.346
LIMA1,PRPF6,0.342
LMNA,LMNB2,0.32
LMNA,NCOR1,0.308
LMNA,NCOR2,0.308
LMNA,SIN3B,0.334
LMNB2,PPP1R9B,0.312
LMO7,MYO1D,0.334
LMO7,MYO1E,0.336
LMO7,MYO5C,0.342
LONP1,PPIC,0.34
LRCH2,MYO5A,0.352
LRCH2,TJP1,0.32
LRCH3,PRKCI,0.332
LSM1,UBR5,0.366
LSM1,USP54,0.322
LSM4,SART1,0.298
LSM6,SNRNP200,0.402
LSR,SCRIB,0.324
MAP3K20,RBBP4,0.342
MAP7D3,OTUD4,0.316
MARS1,USP9X,0.362
MATR3,MRE11,0.332
MBD3,MTA2,0.33
MCM10,MPHOSPH10,0.324
MCM10,USP9X,0.368
MDC1,MED19,0.312
MEAK7,MYO6,0.374
MEAK7,SPTBN2,0.324
MED17,SIN3A,0.328
MED17,TOP2A,0.362
MED1,TP53,0.332
MED23,MED29,0.42
MED23,RFX1,0.38
MED24,TOP2B,0.346
MED4,TOP2B,0.372
METAP1D,NARS2,0.386
METTL15,OCRL,0.336
MICU1,RPRD2,0.32
MKI67,SAP30,0.312
MMS19,PPP1R12A,0.352
MMS19,XPO7,0.358
MOGS,PPP4C,0.404
MOV10,MRE11,0.364
MOV10,TNRC6B,0.342
MPRIP,MYO1D,0.342
MPRIP,MYO6,0.358
MPRIP,PAWR,0.31
MPRIP,RHOG,0.316
MPRIP,SPECC1,0.314
MPRIP,SUPT16H,0.328
MRE11,RNF169,0.338
MRE11,XRCC1,0.34
MRPL17,SLC39A6,0.332
MRPL38,PRCP,0.37
MRPL3,MRPS2,0.356
MRPL40,NME6,0.36
MRPL40,OCRL,0.36
MRPL45,RPRD2,0.308
MRPL46,PRRC2A,0.312
MRPL46,TRIM33,0.316
MRPL4,PRCP,0.376
MRPS9,PRCP,0.368
MRPS9,TIMM44,0.332
MRPS9,USP9X,0.378
MRPS9,XRCC5,0.344
MYCBP,ZC3H4,0.298
MYH10,SGF29,0.344
MYH14,P4HB,0.34
MYH14,PRPF6,0.334
MYH14,TBL1XR1,0.34
MYH14,TMOD2,0.344
MYH9,TBL1XR1,0.34
MYO18A,POC1A,0.362
MYO18A,SPECC1L,0.352
MYO18A,SUPT16H,0.35
MYO1B,NEFM,0.342
MYO1B,PLEKHG3,0.338
MYO1C,NUMA1,0.332
MYO1C,SUPT16H,0.346
MYO1D,NDE1,0.368
MYO1E,SPTBN1,0.334
MYO1E,SVIL,0.332
MYO5A,SPECC1L,0.348
MYO5B,TWF1,0.368
MYO5C,NEXN,0.358
NAA15,PEX19,0.396
NAA15,TTLL12,0.368
NADK2,OPA1,0.34
NBN,UBN2,0.318
NCBP1,WDR33,0.352
NCKAP1,SHANK1,0.348
NCKIPSD,PCM1,0.322
NCOA2,NCOA3,0.32
NCOA2,P3H1,0.326
NCOA3,RBL1,0.338
NCOR2,OGT,0.338
NDUFA10,PISD,0.354
NDUFS2,OCRL,0.348
NDUFS2,SIL1,0.362
NEFL,NEFM,0.312
NFS1,UBN1,0.332
NKTR,RBM15B,0.312
NPEPPS,NUP37,0.404
NPEPPS,NUP85,0.378
NRP1,PDSS2,0.338
NRP1,PPP2R5D,0.332
NRP1,SIL1,0.336
NRXN2,PPP1R12A,0.336
NUBPL,RPRD2,0.316
NUDT12,TRIM41,0.336
NUP133,PEX19,0.352
NUP133,TMEM209,0.35
NUP133,XPOT,0.352
NUP153,SIPA1L1,0.336
NUP153,SIPA1L3,0.336
NUP155,OCIAD1,0.392
NUP160,NUP43,0.392
NXF1,PAF1,0.328
OBI1,SNX17,0.342
OCLN,PIGT,0.362
OGT,RAI14,0.356
OLA1,TWF1,0.366
OPA1,RCC1L,0.336
OTUD4,PAIP2,0.318
OTUD4,TNRC6B,0.316
OTUD4,ZNF318,0.316
P3H1,UBR1,0.392
P3H4,P4HA1,0.362
P4HB,PRPF6,0.344
PAF1,PDS5B,0.372
PAF1,TTLL12,0.374
PAIP2,RBL1,0.38
PAIP2,YTHDC2,0.392
PARL,RCC1L,0.364
PATL1,SKIV2L,0.36
PATZ1,RIOK2,0.336
PAWR,PCM1,0.306
PAWR,SVIL,0.328
PAXIP1,POLE,0.37
PDCD11,PRKAR2A,0.33
PDSS1,RPRD2,0.32
PELP1,SNRNP200,0.37
PELP1,TBL1XR1,0.344
PJA1,RBL1,0.35
POLDIP2,USP9X,0.38
POLDIP2,ZNRD2,0.37
POLE,POMGNT2,0.382
POLR2A,SCAF1,0.36
PPFIA3,PPP2R1A,0.338
PPIC,PRDX4,0.352
PPM1B,RDH14,0.368
PPP1R12A,RHOG,0.32
PPP1R9B,SGF29,0.322
PRKAA1,USP9X,0.376
PRKAR2A,WDR1,0.382
PRKCI,TROAP,0.332
PRKCI,ZC3H4,0.324
PRPF6,PUM3,0.34
PRPF8,ZC3H18,0.358
PRRC2A,VARS2,0.344
PRRC2A,ZYX,0.31
PUM3,RBM15,0.34
PUM3,TEX10,0.352
RAD50,SUPT16H,0.33
RAD50,XRCC1,0.334
RAD54L2,USP54,0.336
RAD54L2,XPNPEP3,0.342
RAD54L2,XRN1,0.35
RAE1,TMEM201,0.344
RAE1,USP9X,0.38
RAI14,USP9X,0.368
RB1,YWHAG,0.374
RBM10,USP9X,0.368
RBM15,USP9X,0.368
RBM6,WDR48,0.348
RBM6,YTHDC2,0.352
RFC1,SUPT16H,0.326
RFX1,VAPA,0.332
RNF169,USP15,0.332
RNF20,WASL,0.31
RNH1,UBN2,0.332
RRBP1,UBAC2,0.312
RTN3,RTN4,0.316
SARS1,SCRIB,0.328
SARS1,SNRNP200,0.386
SARS1,SPTBN1,0.328
SART3,TIMM10,0.366
SBF1,STK3,0.352
SCAF4,TNRC6A,0.312
SCRIB,SND1,0.324
SCRIB,TJP1,0.324
SCRIB,WDR1,0.338
SEC16A,SNX9,0.322
SEC16A,ZC3H18,0.324
SELENOF,TNPO3,0.414
SENP3,SPATA5,0.324
SGF29,TCF3,0.326
SKIV2L,TRAF2,0.37
SKIV2L,WDR61,0.376
SLC39A10,WARS2,0.334
SLC39A11,TNPO2,0.382
SMC3,STAG2,0.35
SNRNP200,ZNRD2,0.396
SNX9,TNRC6A,0.32
SPTAN1,TWF1,0.314
STIP1,TIAL1,0.34
STUB1,TBL1XR1,0.358
SVIL,TPM1,0.328
TBC1D15,VAPA,0.35
TCF12,WDR26,0.34
TCF20,VGLL4,0.312
TCF25,TROAP,0.338
TLN1,ZC3H18,0.35
TMEM209,TPX2,0.318
TNRC6A,WDR33,0.324
TOP2A,XRCC1,0.354
TPM4,VARS1,0.392
TRAF2,UBR5,0.358
TRAF7,USP54,0.324
TRMT6,XPNPEP3,0.36
TROAP,XRN1,0.358
TSC1,YTHDC2,0.352
TTF2,XPC,0.332
UBE2A,WASL,0.322
USP54,ZC3H4,0.322
USP9X,VAPA,0.386
USP9X,WDR48,0.368
WDR33,ZC3H18,0.324
XPC,ZYG11B,0.352
ARID1B,FANCI,0.347
MKI67,TCF4,0.3134
PRRC2A,UBR1,0.3572
MKI67,SMARCC2,0.3144
ANKRD11,NUP153,0.3116
ASXL3,BRD4,0.3072
ABI1,SHANK2,0.318
ACOT9,UBR1,0.39
ADNP,CUL7,0.352
ANKRD11,RBM15B,0.306
AP2A1,KDM6B,0.32
AP2A2,KDM6B,0.32
AP2A2,RAI1,0.322
ARID1B,STIP1,0.316
CASK,TBR1,0.326
CLPB,TBR1,0.328
CNOT3,KIAA0232,0.3
COQ8A,UBR1,0.384
CREBBP,TP53,0.33
CRTC2,RFX3,0.322
DYRK1A,SKIV2L,0.354
DYRK1A,TRAF2,0.324
EIF3A,EIF3G,0.328
HDLBP,TARS1,0.334
HIRA,MYT1L,0.316
IRF2BPL,TCF20,0.304
KCNMA1,RRBP1,0.332
KIAA0232,TRAF3,0.304
LRRC4C,SELENOF,0.362
MDC1,PAX5,0.306
MED13L,MED15,0.354
MTMR1,TBR1,0.344
MYH14,SETD5,0.326
MYO5A,NRXN1,0.336
MYO6,SETD5,0.338
MYT1L,PHF21A,0.308
NUP155,SUN2,0.358
PELP1,PHF2,0.326
PEX19,TEK,0.338
PPP1R9B,SNX9,0.328
PRR12,TRIM27,0.308
RNF169,TRIM23,0.312
RNF20,WAC,0.308
RNF40,WAC,0.306
SIL1,UBR1,0.39
SUPT16H,ZMYND8,0.318
TMLHE,UBR1,0.392
WAC,WTAP,0.298
KDM6B,SEC16A,0.3168
AAAS,NUP205,0.384
ACAA1,SLC39A10,0.334
ACAA1,ZYX,0.342
ACAD11,AKAP8,0.326
ACAD11,CCDC8,0.33
ACAD11,MED1,0.316
ACADSB,PRRC2A,0.314
ACOT9,ADGRL2,0.316
ACOT9,TRIM33,0.322
ACTN1,CDC42BPB,0.324
ACTN4,EPB41L2,0.324
ACTN4,MYO18A,0.34
ADD3,SVIL,0.32
ADGRL2,AFG3L2,0.316
ADGRL2,CEP170,0.312
ADGRL2,DOCK7,0.348
ADSL,RBM6,0.33
AFDN,DBN1,0.316
AFDN,LMO7,0.32
AFDN,OGDH,0.34
AFDN,TMOD2,0.318
AGO2,RNPC3,0.372
AGPS,RCC1L,0.358
AGPS,SMOC1,0.368
AHCYL1,USP9X,0.366
AKAP8,AP1B1,0.336
AKAP8,WDR6,0.366
AKR1B10,MPRIP,0.318
AMER1,CTNNBIP1,0.288
AMPD2,IDE,0.36
ANKHD1,PYCR3,0.326
ANP32B,ATIC,0.396
ANP32E,STX16,0.334
ANXA6,ITPRID2,0.318
ANXA6,NUMA1,0.314
AP1B1,ELP1,0.35
AP1B1,PDCD11,0.324
AP1B1,USP9X,0.358
AP1B1,ZMYM4,0.326
AP2A1,IRF2BPL,0.332
AP2A1,POLD1,0.358
AP2A1,TNRC6A,0.318
AP2A1,TNRC6B,0.318
AP2A2,CIAO1,0.352
AP2A2,EPS15,0.33
AP2A2,PAXIP1,0.328
AP2A2,PDCD11,0.324
AP2A2,PPM1B,0.338
AP2A2,STK3,0.342
AP2A2,TP53,0.344
AP2B1,ELP1,0.35
AP2B1,PPM1B,0.34
AP2M1,BAIAP2,0.32
AP2M1,MIB1,0.324
AP2M1,PDCD11,0.318
AP2S1,FAM91A1,0.392
AP2S1,GAK,0.32
AP2S1,IQSEC1,0.332
AP3D1,CTR9,0.328
AP3D1,KPNA2,0.336
AP3D1,LEO1,0.332
APC,FAM53B,0.316
APC,LRCH1,0.316
APC,MRPS9,0.316
APC,TCF7L2,0.316
AQR,DCAF7,0.396
ARHGEF1,EIF4ENIF1,0.316
ARID4A,BBX,0.312
ARID4A,FOXK1,0.312
ARID4A,HDAC2,0.322
ASPH,SAV1,0.342
ATAD3B,CNOT1,0.324
ATAD3B,EPB41L2,0.312
ATAD3B,LIMA1,0.314
ATAD3B,PAXIP1,0.32
ATAD3B,SCRIB,0.32
ATAD3B,ZMYM2,0.31
ATE1,TNPO3,0.376
ATE1,XPO5,0.378
ATIC,KIAA1671,0.324
ATIC,SUPT6H,0.352
ATIC,TJP1,0.326
ATXN2,CIP2A,0.324
ATXN2,OCRL,0.316
BAG5,MAGED2,0.33
BAG6,NUP155,0.348
BAIAP2,FBXW11,0.336
BAIAP2,OCRL,0.33
BAIAP2,RAE1,0.34
BCKDK,ZMYM2,0.316
BCR,EDC4,0.318
BEND3,CABIN1,0.334
BEND3,HSPA6,0.342
BEND3,MED23,0.378
BEND3,MED29,0.304
BIRC2,OTUD4,0.314
BIRC2,RBL1,0.34
BIRC2,SEC16A,0.314
BIRC2,TTC37,0.358
BIRC2,USP54,0.316
BIRC2,ZC3H4,0.298
BMP2K,CLTA,0.32
BMP2K,GTSE1,0.314
BMS1,DHX30,0.34
BRD2,NFS1,0.332
CABIN1,CLPX,0.334
CACNA2D1,FYN,0.378
CACNA2D1,LIMA1,0.364
CACNA2D1,MEAK7,0.382
CACNA2D1,PLEKHG3,0.348
CACNA2D1,RAI14,0.358
CACNA2D1,TNPO1,0.358
CACTIN,EP300,0.324
CADM1,FLOT1,0.33
CALR,SPTBN2,0.312
CALU,PAIP2,0.378
CALU,SMARCA4,0.332
CALU,WDR61,0.36
CALU,ZC3H18,0.31
CALU,ZC3H4,0.308
CAMK2G,MATR3,0.318
CAND1,SMC1A,0.346
CAND1,SPTBN1,0.336
CAND1,STIP1,0.366
CARM1,ELAVL2,0.346
CARM1,TIMM8A,0.36
CASK,DNAJC16,0.322
CCDC8,FARP2,0.332
CCDC8,MRPS9,0.304
CDC42BPA,CYB5R3,0.326
CDC42BPA,PIGK,0.326
CDC42BPB,LIMA1,0.334
CDC42BPB,MPRIP,0.322
CDC42BPB,NEFM,0.33
CDC73,COQ10B,0.31
CDC73,FASTKD2,0.348
CDC73,FLNA,0.312
CDC73,MRPL4,0.32
CDC73,WDR61,0.34
CDH2,IQGAP1,0.32
CEP131,RRP9,0.32
CEP164,CTR9,0.326
CEP170,MCM10,0.31
CEP170,MICU1,0.312
CGN,CTNNA1,0.33
CHAF1B,NFXL1,0.326
CHAF1B,YME1L1,0.328
CHD4,TBL1X,0.334
CIP2A,PRRC2A,0.318
CIP2A,UGGT1,0.37
CIP2A,USP9X,0.356
CKAP4,RO60,0.348
CKAP4,XPO5,0.376
CKAP5,MAP7D3,0.312
CKAP5,SND1,0.316
CKAP5,USP15,0.314
CLK2,OGT,0.368
CLPB,PRRC2A,0.314
CLPB,SAV1,0.338
CLPB,ZMYM4,0.312
CLTB,TNRC6A,0.296
CLTC,DBN1,0.316
CLTC,FMNL2,0.314
CLTC,HIP1,0.314
CLTC,LEMD2,0.32
CLTC,LMO7,0.314
CLTC,SARS1,0.32
CLUAP1,HDAC2,0.346
COL18A1,COLGALT1,0.326
COL18A1,KIF21A,0.316
COL18A1,TMEM201,0.306
COLGALT1,EIF4ENIF1,0.338
COLGALT1,PKP2,0.342
COLGALT1,PRPF8,0.36
COLGALT1,RBM27,0.338
COLGALT1,SMPD4,0.348
COLGALT1,TMEM201,0.352
COP1,DNAJC16,0.322
CORO1B,DOCK7,0.362
CORO1B,FMNL2,0.328
CORO1B,PRKAR2A,0.358
CORO1B,SPTBN2,0.318
CORO1C,SPTAN1,0.316
CPSF1,POLR2A,0.348
CPSF2,HCFC1,0.322
CPSF3,POLR2A,0.366
CPVL,LIG3,0.334
CPVL,RAD50,0.326
CREBBP,FAM117B,0.324
CREBBP,LRCH3,0.324
CREBBP,PATL1,0.322
CREBBP,TRAF2,0.326
CRTC3,MRPL45,0.31
CRTC3,TMEM209,0.312
CTBP1,TTC37,0.366
CTBP2,FOXP2,0.326
CTBP2,NXF1,0.332
CTNNA1,FLII,0.324
CTNNA1,PAWR,0.356
CTNNA1,TWF1,0.354
CTNNB1,HIRA,0.33
CTNNB1,PPP1R9B,0.34
CTNNB1,SPTBN2,0.32
CTR9,DCAF7,0.344
CTR9,RAI14,0.334
CTSA,GID8,0.39
CTSA,MKLN1,0.346
CTSA,PRDX4,0.378
